question,true_answer,wikipedia_link_1,wikipedia_link_2,wikipedia_link_3,wikipedia_link_4,wikipedia_link_5,wikipedia_link_6,wikipedia_link_7,wikipedia_link_8,wikipedia_link_9,wikipedia_link_10,wikipedia_link_11+,reasoning_types,wiki_links
"If my future wife has the same first name as the 15th first lady of the United States' mother and her surname is the same as the second assassinated president's mother's maiden name, what is my future wife's name? ",Jane Ballou,https://en.wikipedia.org/wiki/President_of_the_United_States,https://en.wikipedia.org/wiki/James_Buchanan,https://en.wikipedia.org/wiki/Harriet_Lane,https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States_who_died_in_office,https://en.wikipedia.org/wiki/James_A._Garfield,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/President_of_the_United_States', 'https://en.wikipedia.org/wiki/James_Buchanan', 'https://en.wikipedia.org/wiki/Harriet_Lane', 'https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States_who_died_in_office', 'https://en.wikipedia.org/wiki/James_A._Garfield']"
"Imagine there is a building called Bronte tower whose height in feet is the same number as the dewey decimal classification for the Charlotte Bronte book that was published in 1847. Where would this building rank among tallest buildings in New York City, as of August 2024?",37th,https://en.wikipedia.org/wiki/Charlotte_Bront%C3%AB,https://en.wikipedia.org/wiki/Jane_Eyre,https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_New_York_City,,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Charlotte_Bront%C3%AB', 'https://en.wikipedia.org/wiki/Jane_Eyre', 'https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_New_York_City']"
How many years earlier would Punxsutawney Phil have to be canonically alive to have made a Groundhog Day prediction in the same state as the US capitol?,87,https://en.wikipedia.org/wiki/Punxsutawney_Phil,https://en.wikipedia.org/wiki/United_States_Capitol,,,,,,,,,,Numerical reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Punxsutawney_Phil', 'https://en.wikipedia.org/wiki/United_States_Capitol']"
"As of August 1, 2024, which country were holders of the FIFA World Cup the last time the UEFA Champions League was won by a club from London?",France,https://en.wikipedia.org/wiki/FIFA_World_Cup,https://en.wikipedia.org/wiki/London,https://en.wikipedia.org/wiki/UEFA_Champions_League,,,,,,,,,Tabular reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/FIFA_World_Cup', 'https://en.wikipedia.org/wiki/London', 'https://en.wikipedia.org/wiki/UEFA_Champions_League']"
What is the name of the vocalist from the first band to make it in the top 200 under the record label that produced the third studio album for Dismal Euphony?,Jens Kidman,https://en.wikipedia.org/wiki/Dismal_Euphony,https://en.wikipedia.org/wiki/All_Little_Devils,https://en.wikipedia.org/wiki/Nuclear_Blast,https://en.wikipedia.org/wiki/Meshuggah,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Dismal_Euphony', 'https://en.wikipedia.org/wiki/All_Little_Devils', 'https://en.wikipedia.org/wiki/Nuclear_Blast', 'https://en.wikipedia.org/wiki/Meshuggah']"
"According to the 2000 United States census, what was the 2000 population of the birth city of the only 21st-century mayor of Austin, Texas who also served as mayor in the 1990s? Round your answer to the nearest thousand.",506000,https://en.wikipedia.org/wiki/Mayor_of_Austin,https://en.wikipedia.org/wiki/Kirk_Watson,https://en.wikipedia.org/wiki/Oklahoma_City,,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Mayor_of_Austin', 'https://en.wikipedia.org/wiki/Kirk_Watson', 'https://en.wikipedia.org/wiki/Oklahoma_City']"
I have an element in mind and would like you to identify the person it was named after. Here's a clue: The element's atomic number is 9 higher than that of an element discovered by the scientist who discovered Zirconium in the same year.,Mendelevium is named after Dmitri Mendeleev.,https://en.wikipedia.org/wiki/Zirconium,https://en.wikipedia.org/wiki/Martin_Heinrich_Klaproth,https://en.wikipedia.org/wiki/Uranium,https://en.wikipedia.org/wiki/Mendelevium,https://en.wikipedia.org/wiki/Periodic_table,,,,,,,Numerical reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Zirconium', 'https://en.wikipedia.org/wiki/Martin_Heinrich_Klaproth', 'https://en.wikipedia.org/wiki/Uranium', 'https://en.wikipedia.org/wiki/Mendelevium', 'https://en.wikipedia.org/wiki/Periodic_table']"
"As of Aug 3, 2024, the artist who released the album ""Father of Asahd"" went to the same high school as an Olympic diver. How many Olympic teams did this diver participate on?",2,https://en.wikipedia.org/wiki/Father_of_Asahd,https://en.wikipedia.org/wiki/DJ_Khaled,https://en.wikipedia.org/wiki/Dr._Phillips_High_School,https://en.wikipedia.org/wiki/Mark_Ruiz,,,,,,,,Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Father_of_Asahd', 'https://en.wikipedia.org/wiki/DJ_Khaled', 'https://en.wikipedia.org/wiki/Dr._Phillips_High_School', 'https://en.wikipedia.org/wiki/Mark_Ruiz']"
A general motors vehicle is named after the largest ward in the country of Monaco.  How many people had walked on the moon as of the first model year of the vehicle? Note: the model year is not the same as the year the model was first produced.,4,https://en.wikipedia.org/wiki/Monaco,https://en.wikipedia.org/wiki/List_of_Chevrolet_vehicles,https://en.wikipedia.org/wiki/Chevrolet_Monte_Carlo,https://en.wikipedia.org/wiki/Moon,https://en.wikipedia.org/wiki/Apollo_program,,,,,,https://en.wikipedia.org/wiki/List_of_Apollo_missions,Tabular reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Monaco', 'https://en.wikipedia.org/wiki/List_of_Chevrolet_vehicles', 'https://en.wikipedia.org/wiki/Chevrolet_Monte_Carlo', 'https://en.wikipedia.org/wiki/Moon', 'https://en.wikipedia.org/wiki/Apollo_program', 'https://en.wikipedia.org/wiki/List_of_Apollo_missions']"
"The Pope born Pietro Barbo ended a long-running war two years after his papacy began, which famous conflict, immortalized in tapestry took place 400 years earlier?",The Battle of Hastings.,https://en.wikipedia.org/wiki/Pope_Paul_II,https://en.wikipedia.org/wiki/Thirteen_Years%27_War_(1454%E2%80%931466),https://en.wikipedia.org/wiki/Bayeux_Tapestry,https://en.wikipedia.org/wiki/Battle_of_Hastings,,,,,,,,Temporal reasoning,"['https://en.wikipedia.org/wiki/Pope_Paul_II', 'https://en.wikipedia.org/wiki/Thirteen_Years%27_War_(1454%E2%80%931466)', 'https://en.wikipedia.org/wiki/Bayeux_Tapestry', 'https://en.wikipedia.org/wiki/Battle_of_Hastings']"
